,idx,name,category,closest_known_entity,closest_category,closest_similarity
576,11194,Columbia River Basalt Group,stratigraphic_name,Columbia River Basalt Group,known_stratigraphic_name,1.0000001
596,11214,Conococheague limestone,stratigraphic_name,Conococheague Limestone,known_stratigraphic_name,1.0000001
608,11226,Corcoran Clay Member,stratigraphic_name,Corcoran Clay Member,known_stratigraphic_name,1.0000001
4531,15149,Limestone,lithology,limestone,known_lithology,1.0000001
874,11492,Fernvale limestone,stratigraphic_name,Fernvale Limestone,known_stratigraphic_name,1.0000001
848,11466,Escabrosa limestone,stratigraphic_name,Escabrosa Limestone,known_stratigraphic_name,1.0000001
806,11424,Ella Dolomite,stratigraphic_name,Ella Dolomite,known_stratigraphic_name,1.0000001
796,11414,Edwards limestone,stratigraphic_name,Edwards Limestone,known_stratigraphic_name,1.0000001
768,11386,Eagle Ford shale,stratigraphic_name,Eagle Ford Shale,known_stratigraphic_name,1.0000001
759,11377,Dunkard formation,stratigraphic_name,Dunkard Formation,known_stratigraphic_name,1.0000001
3537,14155,lone Formation,stratigraphic_name,Lone Formation,known_stratigraphic_name,1.0000001
699,11317,Decorah formation,stratigraphic_name,Decorah Formation,known_stratigraphic_name,1.0000001
1139,11757,Hoodoo Quartzite,stratigraphic_name,Hoodoo Quartzite,known_stratigraphic_name,1.0000001
683,11301,Dakota sandstone,stratigraphic_name,Dakota Sandstone,known_stratigraphic_name,1.0000001
673,11291,Cutler Formation,stratigraphic_name,Cutler Formation,known_stratigraphic_name,1.0000001
668,11286,Curecanti Quartz Monzonite,stratigraphic_name,Curecanti Quartz Monzonite,known_stratigraphic_name,1.0000001
659,11277,Crystal Pass limestone,stratigraphic_name,Crystal Pass Limestone,known_stratigraphic_name,1.0000001
654,11272,Crook formation,stratigraphic_name,Crook Formation,known_stratigraphic_name,1.0000001
7346,17964,granodiorite,lithology,granodiorite,known_lithology,1.0000001
1124,11742,Hermosa Group,stratigraphic_name,Hermosa Group,known_stratigraphic_name,1.0000001
1138,11756,Homewood sandstone,stratigraphic_name,Homewood Sandstone,known_stratigraphic_name,1.0000001
1155,11773,Idaho Springs formation,stratigraphic_name,Idaho Springs Formation,known_stratigraphic_name,1.0000001
1856,12474,Olive Hill Formation,stratigraphic_name,Olive Hill Formation,known_stratigraphic_name,1.0000001
5590,16208,breccia,lithology,breccia,known_lithology,1.0000001
1946,12564,Panoche Formation,stratigraphic_name,Panoche Formation,known_stratigraphic_name,1.0000001
9369,19987,pumice,lithology,pumice,known_lithology,1.0000001
2571,13189,Taylor marl,stratigraphic_name,Taylor Marl,known_stratigraphic_name,1.0000001
2605,13223,Temple Butte limestone,stratigraphic_name,Temple Butte Limestone,known_stratigraphic_name,1.0000001
1895,12513,Oswayo formation,stratigraphic_name,Oswayo Formation,known_stratigraphic_name,1.0000001
1889,12507,Oro Loma Formation,stratigraphic_name,Oro Loma Formation,known_stratigraphic_name,1.0000001
1885,12503,Oriskany Formation,stratigraphic_name,Oriskany Formation,known_stratigraphic_name,1.0000001
9077,19695,peat,lithology,peat,known_lithology,1.0000001
6242,16860,colluvium,lithology,colluvium,known_lithology,1.0000001
2538,13156,Summerville Formation,stratigraphic_name,Summerville Formation,known_stratigraphic_name,1.0000001
6267,16885,conglomerate,lithology,conglomerate,known_lithology,1.0000001
2681,13299,Thebes sandstone,stratigraphic_name,Thebes Sandstone,known_stratigraphic_name,1.0000001
1814,12432,Noix oolite member,stratigraphic_name,Noix Oolite Member,known_stratigraphic_name,1.0000001
2688,13306,Three Forks Formation,stratigraphic_name,Three Forks Formation,known_stratigraphic_name,1.0000001
1787,12405,Neroly Formation,stratigraphic_name,Neroly Formation,known_stratigraphic_name,1.0000001
2714,13332,Tom Thumb Tuff Member,stratigraphic_name,Tom Thumb Tuff Member,known_stratigraphic_name,1.0000001
1753,12371,Muddy Sandstone Member,stratigraphic_name,Muddy Sandstone Member,known_stratigraphic_name,1.0000001
1734,12352,Mount Davis Volcanics,stratigraphic_name,Mount Davis Volcanics,known_stratigraphic_name,1.0000001
1732,12350,Morrow group,stratigraphic_name,Morrow Group,known_stratigraphic_name,1.0000001
2541,13159,Summerville formation,stratigraphic_name,Summerville Formation,known_stratigraphic_name,1.0000001
2044,12662,Pictured Cliffs Sandstone,stratigraphic_name,Pictured Cliffs Sandstone,known_stratigraphic_name,1.0000001
4938,15556,agglomerate,lithology,agglomerate,known_lithology,1.0000001
2355,12973,San Rafael Group,stratigraphic_name,San Rafael Group,known_stratigraphic_name,1.0000001
2266,12884,Red Peak Formation,stratigraphic_name,Red Peak Formation,known_stratigraphic_name,1.0000001
10733,21351,tonalite,lithology,tonalite,known_lithology,1.0000001
2304,12922,Rodeo shale,stratigraphic_name,Rodeo Shale,known_stratigraphic_name,1.0000001
10760,21378,travertine,lithology,travertine,known_lithology,1.0000001
2316,12934,Ruin Granite,stratigraphic_name,Ruin Granite,known_stratigraphic_name,1.0000001
2327,12945,Salem limestone,stratigraphic_name,Salem Limestone,known_stratigraphic_name,1.0000001
2196,12814,Purisima formation,stratigraphic_name,Purisima Formation,known_stratigraphic_name,1.0000001
2188,12806,Pryor Conglomerate Member,stratigraphic_name,Pryor Conglomerate Member,known_stratigraphic_name,1.0000001
5919,16537,chert,lithology,chert,known_lithology,1.0000001
10713,21331,till,lithology,till,known_lithology,1.0000001
2046,12664,Pikes Peak granite,stratigraphic_name,Pikes Peak Granite,known_stratigraphic_name,1.0000001
2371,12989,Santa Rita limestone,stratigraphic_name,Santa Rita Limestone,known_stratigraphic_name,1.0000001
2372,12990,Santee Limestone,stratigraphic_name,Santee Limestone,known_stratigraphic_name,1.0000001
2396,13014,Sedalia limestone,stratigraphic_name,Sedalia Limestone,known_stratigraphic_name,1.0000001
2414,13032,Shady formation,stratigraphic_name,Shady Formation,known_stratigraphic_name,1.0000001
2115,12733,Popo Agie Formation,stratigraphic_name,Popo Agie Formation,known_stratigraphic_name,1.0000001
2110,12728,Pocono sandstone,stratigraphic_name,Pocono Sandstone,known_stratigraphic_name,1.0000001
2072,12690,Platteville limestone,stratigraphic_name,Platteville Limestone,known_stratigraphic_name,1.0000001
2055,12673,Pitkin limestone,stratigraphic_name,Pitkin Limestone,known_stratigraphic_name,1.0000001
2051,12669,Pinole tuff,stratigraphic_name,Pinole Tuff,known_stratigraphic_name,1.0000001
1699,12317,Moenave Formation,stratigraphic_name,Moenave Formation,known_stratigraphic_name,1.0000001
1698,12316,Modesto Formation,stratigraphic_name,Modesto Formation,known_stratigraphic_name,1.0000001
5370,15988,bauxite,lithology,bauxite,known_lithology,1.0000001
1268,11886,Kaslo Group,stratigraphic_name,Kaslo Group,known_stratigraphic_name,1.0000001
8763,19381,mudstone,lithology,mudstone,known_lithology,1.0000001
3000,13618,Wingate Sandstone,stratigraphic_name,Wingate Sandstone,known_stratigraphic_name,1.0000001
1386,12004,Lemhi Group,stratigraphic_name,Lemhi Group,known_stratigraphic_name,1.0000001
1382,12000,Lebo Member,stratigraphic_name,Lebo Member,known_stratigraphic_name,1.0000001
3014,13632,Wood River Formation,stratigraphic_name,Wood River Formation,known_stratigraphic_name,1.0000001
3017,13635,Woodmont Shale,stratigraphic_name,Woodmont Shale,known_stratigraphic_name,1.0000001
1332,11950,La Ventana Tongue,stratigraphic_name,La Ventana Tongue,known_stratigraphic_name,1.0000001
3045,13663,Ymir Group,stratigraphic_name,Ymir Group,known_stratigraphic_name,1.0000001
1295,11913,Kinderhook group,stratigraphic_name,Kinderhook Group,known_stratigraphic_name,1.0000001
1255,11873,Kaibab limestone,stratigraphic_name,Kaibab Limestone,known_stratigraphic_name,1.0000001
9456,20074,quartz arenite,lithology,quartz arenite,known_lithology,1.0000001
1254,11872,Kaibab Limestone,stratigraphic_name,Kaibab Limestone,known_stratigraphic_name,1.0000001
1241,11859,Juniata Formation,stratigraphic_name,Juniata Formation,known_stratigraphic_name,1.0000001
1240,11858,Junction Creek Sandstone,stratigraphic_name,Junction Creek Sandstone,known_stratigraphic_name,1.0000001
1236,11854,Joliet limestone,stratigraphic_name,Joliet Limestone,known_stratigraphic_name,1.0000001
1234,11852,Johns Valley shale,stratigraphic_name,Johns Valley Shale,known_stratigraphic_name,1.0000001
1231,11849,Joachim dolomite,stratigraphic_name,Joachim Dolomite,known_stratigraphic_name,1.0000001
8634,19252,migmatite,lithology,migmatite,known_lithology,1.0000001
1225,11843,Jennings Formation,stratigraphic_name,Jennings Formation,known_stratigraphic_name,1.0000001
1219,11837,Jackson Group,stratigraphic_name,Jackson Group,known_stratigraphic_name,1.0000001
2997,13615,Wills Creek Shale,stratigraphic_name,Wills Creek Shale,known_stratigraphic_name,1.0000001
2987,13605,Wildcat member,stratigraphic_name,Wildcat Member,known_stratigraphic_name,1.0000001
2981,13599,Wilcox Group,stratigraphic_name,Wilcox Group,known_stratigraphic_name,1.0000001
5165,15783,ankerite,lithology,ankerite,known_lithology,1.0000001
2760,13378,Trout Creek Sandstone Member,stratigraphic_name,Trout Creek Sandstone Member,known_stratigraphic_name,1.0000001
2798,13416,Tuolumne Intrusive Suite,stratigraphic_name,Tuolumne Intrusive Suite,known_stratigraphic_name,1.0000001
2801,13419,Tuscarora Quartzite,stratigraphic_name,Tuscarora Quartzite,known_stratigraphic_name,1.0000001
5321,15939,basalt,lithology,basalt,known_lithology,1.0000001
1588,12206,Mesaverde Group,stratigraphic_name,Mesaverde Group,known_stratigraphic_name,1.0000001
6520,17138,diabase,lithology,diabase,known_lithology,1.0000001
10596,21214,tephra,lithology,tephra,known_lithology,1.0000001
1557,12175,Medicine Bow Formation,stratigraphic_name,Medicine Bow Formation,known_stratigraphic_name,1.0000001
1553,12171,McLeansboro formation,stratigraphic_name,McLeansboro Formation,known_stratigraphic_name,1.0000001
1544,12162,Mazatzal quartzite,stratigraphic_name,Mazatzal Quartzite,known_stratigraphic_name,1.0000001
1532,12150,Martinsburg shale,stratigraphic_name,Martinsburg Shale,known_stratigraphic_name,1.0000001
6553,17171,diorite,lithology,diorite,known_lithology,1.0000001
1507,12125,Maquoketa Formation,stratigraphic_name,Maquoketa Formation,known_stratigraphic_name,1.0000001
2916,13534,Vaqueros sandstone,stratigraphic_name,Vaqueros Sandstone,known_stratigraphic_name,1.0000001
10586,21204,tar,lithology,tar,known_lithology,1.0000001
2923,13541,Vashon till,stratigraphic_name,Vashon Till,known_stratigraphic_name,1.0000001
2931,13549,Vergennes sandstone member,stratigraphic_name,Vergennes Sandstone Member,known_stratigraphic_name,1.0000001
2932,13550,Vicksburg Group,stratigraphic_name,Vicksburg Group,known_stratigraphic_name,1.0000001
5187,15805,aplite,lithology,aplite,known_lithology,1.0000001
1285,11903,Kimmswick Formation,stratigraphic_name,Kimmswick Formation,known_stratigraphic_name,1.0000001
5834,16452,carbonate,lithology,carbonate,known_lithology,1.0000001
8031,18649,latite,lithology,latite,known_lithology,1.0000001
4233,14851,Basalt,lithology,basalt,known_lithology,1.0000001
217,10835,Big Creek Formation,stratigraphic_name,Big Creek Formation,known_stratigraphic_name,1.0000001
114,10732,Alsen Limestone,stratigraphic_name,Alsen Limestone,known_stratigraphic_name,1.0000001
4239,14857,Bauxite,lithology,bauxite,known_lithology,1.0000001
7713,18331,hornfels,lithology,hornfels,known_lithology,1.0000001
7995,18613,lamprophyre,lithology,lamprophyre,known_lithology,1.0000001
8101,18719,leucogranite,lithology,leucogranite,known_lithology,1.0000001
1515,12133,Marcellus Formation,stratigraphic_name,Marcellus Formation,known_stratigraphic_name,1.0
10197,20815,silt,lithology,silt,known_lithology,1.0
813,11431,Entrada Sandstone,stratigraphic_name,Entrada Sandstone,known_stratigraphic_name,1.0
814,11432,Entrada sandstone,stratigraphic_name,Entrada Sandstone,known_stratigraphic_name,1.0
1523,12141,Martin formation,stratigraphic_name,Martin Formation,known_stratigraphic_name,1.0
4657,15275,Phyllite,lithology,phyllite,known_lithology,1.0
1969,12587,Payette Formation,stratigraphic_name,Payette Formation,known_stratigraphic_name,1.0
1714,12332,Monterey formation,stratigraphic_name,Monterey Formation,known_stratigraphic_name,1.0
1509,12127,Maquoketa shale,stratigraphic_name,Maquoketa Shale,known_stratigraphic_name,1.0
1508,12126,Maquoketa Shale,stratigraphic_name,Maquoketa Shale,known_stratigraphic_name,1.0
2553,13171,Swauger Formation,stratigraphic_name,Swauger Formation,known_stratigraphic_name,1.0
1502,12120,Mandata Formation,stratigraphic_name,Mandata Formation,known_stratigraphic_name,1.0
462,11080,Challis Volcanic Group,stratigraphic_name,Challis Volcanic Group,known_stratigraphic_name,1.0
2542,13160,Sundance Formation,stratigraphic_name,Sundance Formation,known_stratigraphic_name,1.0
4366,14984,Dolomite,lithology,dolomite,known_lithology,1.0
1500,12118,Mancos Shale,stratigraphic_name,Mancos Shale,known_stratigraphic_name,1.0
208,10826,Belle Fourche shale,stratigraphic_name,Belle Fourche Shale,known_stratigraphic_name,1.0
808,11426,Ellison Formation,stratigraphic_name,Ellison Formation,known_stratigraphic_name,1.0
8407,19025,marl,lithology,marl,known_lithology,1.0
1955,12573,Parkhead Sandstone Member,stratigraphic_name,Parkhead Sandstone Member,known_stratigraphic_name,1.0
499,11117,Chico formation,stratigraphic_name,Chico Formation,known_stratigraphic_name,1.0
1948,12566,Parachute Creek Member,stratigraphic_name,Parachute Creek Member,known_stratigraphic_name,1.0
793,11411,Edgewood limestone,stratigraphic_name,Edgewood Limestone,known_stratigraphic_name,1.0
1950,12568,Paradox Member,stratigraphic_name,Paradox Member,known_stratigraphic_name,1.0
1951,12569,Paria River Member,stratigraphic_name,Paria River Member,known_stratigraphic_name,1.0
1953,12571,Park City Formation,stratigraphic_name,Park City Formation,known_stratigraphic_name,1.0
1549,12167,McKenzie Formation,stratigraphic_name,McKenzie Formation,known_stratigraphic_name,1.0
169,10787,Austin chalk,stratigraphic_name,Austin Chalk,known_stratigraphic_name,1.0
1961,12579,Patsy Mine Volcanics,stratigraphic_name,Patsy Mine Volcanics,known_stratigraphic_name,1.0
1546,12164,McGowan Creek Formation,stratigraphic_name,McGowan Creek Formation,known_stratigraphic_name,1.0
2556,13174,Sylamore sandstone,stratigraphic_name,Sylamore Sandstone,known_stratigraphic_name,1.0
2555,13173,Sweetland Creek Shale,stratigraphic_name,Sweetland Creek Shale,known_stratigraphic_name,1.0
1959,12577,Paso Robles formation,stratigraphic_name,Paso Robles Formation,known_stratigraphic_name,1.0
1536,12154,Mauch Chunk formation,stratigraphic_name,Mauch Chunk Formation,known_stratigraphic_name,1.0
807,11425,Ellensburg Formation,stratigraphic_name,Ellensburg Formation,known_stratigraphic_name,1.0
11048,21666,volcanic glass,lithology,volcanic glass,known_lithology,1.0
1491,12109,Madison Limestone,stratigraphic_name,Madison Limestone,known_stratigraphic_name,1.0
1482,12100,Lowville limestone,stratigraphic_name,Lowville Limestone,known_stratigraphic_name,1.0
6581,17199,dolomite,lithology,dolomite,known_lithology,1.0
2967,13585,Weber Sandstone,stratigraphic_name,Weber Sandstone,known_stratigraphic_name,1.0
6619,17237,drift,lithology,drift,known_lithology,1.0
2512,13130,Stanley shale,stratigraphic_name,Stanley Shale,known_stratigraphic_name,1.0
424,11042,Carrizo sand,stratigraphic_name,Carrizo Sand,known_stratigraphic_name,1.0
2011,12629,Percha shale,stratigraphic_name,Percha Shale,known_stratigraphic_name,1.0
613,11231,Cotter dolomite,stratigraphic_name,Cotter Dolomite,known_stratigraphic_name,1.0
2507,13125,StLouis limestone,stratigraphic_name,Stlouis Limestone,known_stratigraphic_name,1.0
889,11507,Flag Rock Formation,stratigraphic_name,Flag Rock Formation,known_stratigraphic_name,1.0
1411,12029,Lion Canyon Sandstone Member,stratigraphic_name,Lion Canyon Sandstone Member,known_stratigraphic_name,1.0
891,11509,Fleming Formation,stratigraphic_name,Fleming Formation,known_stratigraphic_name,1.0
7547,18165,gypsum,lithology,gypsum,known_lithology,1.0
900,11518,Fort Payne formation,stratigraphic_name,Fort Payne Formation,known_stratigraphic_name,1.0
6054,16672,claystone,lithology,claystone,known_lithology,1.0
96,10714,Alameda formation,stratigraphic_name,Alameda Formation,known_stratigraphic_name,1.0
917,11535,Fox Hills Formation,stratigraphic_name,Fox Hills Formation,known_stratigraphic_name,1.0
10209,20827,siltstone,lithology,siltstone,known_lithology,1.0
923,11541,Franciscan formation,stratigraphic_name,Franciscan Formation,known_stratigraphic_name,1.0
99,10717,Alcova Limestone,stratigraphic_name,Alcova Limestone,known_stratigraphic_name,1.0
5170,15788,anthracite,lithology,anthracite,known_lithology,1.0
8149,18767,lignite,lithology,lignite,known_lithology,1.0
452,11070,Chacra Tongue,stratigraphic_name,Chacra Tongue,known_stratigraphic_name,1.0
2517,13135,Steele Shale,stratigraphic_name,Steele Shale,known_stratigraphic_name,1.0
501,11119,Chinle Formation,stratigraphic_name,Chinle Formation,known_stratigraphic_name,1.0
7515,18133,greensand,lithology,greensand,known_lithology,1.0
7516,18134,greenschist,lithology,greenschist,known_lithology,1.0
2534,13152,Sulphur Springs formation,stratigraphic_name,Sulphur Springs Formation,known_stratigraphic_name,1.0
2919,13537,Vashon Drift,stratigraphic_name,Vashon Drift,known_stratigraphic_name,1.0
